,movie_ids,sources,ratings,ratings_binary,review_texts
0,the_farewell_2019,critics,fresh,p,Episode 45: The Farewell / Jackie Brown / Once Upon a Time... in Hollywood
1,the_farewell_2019,critics,fresh,p,Bring a box of tissues... [Awkwafina] is super darling.
2,the_farewell_2019,critics,fresh,p,"Lulu Wang's The Farewell is a particularly articulate piece of filmmaking. It beautifully captures the sense of alienation of a child of two cultures, and finds warmth and humour in little family moments."
3,the_farewell_2019,critics,fresh,p,"Lulu Wang's The Farewell is bittersweet in the truest sense of the word, balancing on the knife edge of grief and joy."
4,the_farewell_2019,critics,rotten,n,"The movie wants you to believe that there are no easy answers [...] But unfortunately, there are easy answers here, and The Farewell did not do a good enough job of convincing me that this lie was necessary or ethical."
5,the_farewell_2019,critics,fresh,p,"No matter where you come from, you'll likely find some point of connection with The Farewell. The film's themes of love and loss resonate far beyond its Chinese location, thanks to a talented cast and deft writing and directing."
6,the_farewell_2019,critics,fresh,p,"Isn't this life? Nobody really knows, we just do the best we can."
7,the_farewell_2019,critics,fresh,p,It is remarkable that Wang created this film...steeped in Chinese and Chinese-American culture and yet has a message so strong that it can appeal to wide audiences.
8,the_farewell_2019,critics,fresh,p,"A slow burn, a movie that builds to a poignant climax that not only feels earned but deserved."
9,the_farewell_2019,critics,fresh,p,"A profound meditation on young vs. old and East vs. West, [The Farewell] looks to bridge a generational and cultural divide...through reconciliation and understanding."
10,the_farewell_2019,critics,fresh,p,"It is exactly what it is, unapologetically. A funny, sweet, heart-felt, heart-wrenching film about family, identity, love and loss."
11,the_farewell_2019,critics,rotten,n,"Such an average, uneventful, small, intimately-designed, down-to-earth, slice-of-life drama that very little of it is memorable."
12,the_farewell_2019,critics,fresh,p,The fact it's based on writer-director Lulu Wang's real life experiences only adds the poignancy.
13,the_farewell_2019,critics,fresh,p,"As authentic and involving as a family drama could hope to be, and one of the most effective takes on the tension between culture and identity seen in the last few years"
14,the_farewell_2019,critics,fresh,p,The Farewell packs a powerful emotional punch while still offering plenty of humor to give it some levity.
15,the_farewell_2019,critics,fresh,p,"Wang has produced an utter marvel of a film. The Farewell is a beautiful, resonating gem, fuelled by some standout performances and told with touches of pure grace."
16,the_farewell_2019,critics,fresh,p,"It's about watching, about waiting. It's when it's at its most natural that The Farewell connects the inside and the outside with an honesty that's hard to resist."
17,the_farewell_2019,critics,rotten,n,"The second film as director of Lulu Wang doesn't move me nor does it seem funny, but I can't deny that it contains a certain intimacy with the intercultural treaty that describes the vicissitudes of a Chinese family. [Full review in Spanish]"
18,the_farewell_2019,critics,fresh,p,"""The Farewell"" will fill you with the same feeling as Yasujirô Ozu's Japanese masterpiece ""Tokyo Story."" You'll want to immediately pick up the phone, call your grandparents and tell them how much you love them."
19,the_farewell_2019,critics,fresh,p,"Injecting what is a tragic setup with comic elements requires a precarious balancing act from the filmmaker and star alike, but Wang and Awkwafina traverse the tightrope without a wobble."
20,the_farewell_2019,critics,rotten,n,"What follows is a series of hackneyed scenes about the different interpersonal relationships within the family, centering on the heroine's bond with her grandmother."
21,the_farewell_2019,critics,fresh,p,"Thematically, The Farewell is about reconciliation with the past and wrestling with cultural traditions that now seem foreign in a country that once was home. But it's also simply about grappling with loss..."
22,the_farewell_2019,critics,fresh,p,"The Farewell is a comedy of warmth and bracing honesty. Simply put, it's one of the best films of the year."
23,the_farewell_2019,critics,fresh,p,"Magnificent screen presence. I thought it was really lovely. I thought it was really funny. I thought it was really moving. You will laugh, you will cry."
24,the_farewell_2019,critics,fresh,p,"Ultimately, it's all about balance, a yin and yang of roots and identities, humour and pathos that comes together into a satisfying, bittersweet wedding banquet of a movie."
25,the_farewell_2019,critics,fresh,p,You'll be spewing with tears before the first act is done.
26,the_farewell_2019,critics,fresh,p,"A lovely, warm family picture featuring a star-making turn from Awkwafina."
27,the_farewell_2019,critics,fresh,p,"Wang's family story is modestly affecting and deserves an audience, but if it does prompt thoughts about weighing up the importance of emotional truth, they mainly come afterwards."
28,the_farewell_2019,critics,fresh,p,"There are no grand declarations or tear-stained confrontations, as it's not Downton, mercifully. And if you think grandma knows the truth and is fooling everybody else, you will need to think again, as it's just not clichéd in this way."
29,the_farewell_2019,critics,fresh,p,Panic and self-doubt are at the heart of [the] movie...
30,the_farewell_2019,critics,rotten,n,"The film could have had wit, attitude, poignancy, style - or any single one of the four. Instead it slithers along, shallow and soapy."
31,the_farewell_2019,critics,fresh,p,"Immigrant in-jokes abound but this isn't a niche film, it's a crowd-pleaser that's been a box-office hit in the US. Not every scene works but it's an enjoyable watch and Awkwafina is a revelation in a central role."
32,the_farewell_2019,critics,fresh,p,"Goes softly-softly on the Big Themes, but packs an emotional wallop."
33,the_farewell_2019,critics,fresh,p,"Both a vehicle for Awkwafina's formidable talents and an incredibly charming ensemble piece. If there's any justice, it'll be remembered when it comes to award-scattering season."
34,the_farewell_2019,critics,fresh,p,"This is an intricately constructed, deeply personal and surprisingly funny story - one of the real highlights of 2019 in cinema"
