Unnamed: 0,movie_ids,sources,ratings,ratings_binary,review_texts
0,fear_street_part_one_1994,critics,fresh,p,"fear street _UNKNOWN_ one : 1994 _UNKNOWN_ on horror tropes and _UNKNOWN_ school angst , all while kicking off an exciting _UNKNOWN_ trilogy ."
1,fear_street_part_one_1994,critics,fresh,p,"a _UNKNOWN_ twist on _UNKNOWN_ slasher tropes , _UNKNOWN_ of _UNKNOWN_ _UNKNOWN_ , and with a _UNKNOWN_ queer _UNKNOWN_ at its _UNKNOWN_ , this looks _UNKNOWN_ the _UNKNOWN_ of a thrilling _UNKNOWN_ film cycle ."
2,fear_street_part_one_1994,critics,fresh,p,"_UNKNOWN_ , it 's kind of sad that a film that exults in its r-ratedness to this extent is _UNKNOWN_ a netflix exclusive , but if it gets more audiences to take a chance on bread-and-butter horror _UNKNOWN_ this , i ca n't complain ."
3,fear_street_part_one_1994,critics,fresh,p,it looks _UNKNOWN_ _UNKNOWN_ janiak sat the _UNKNOWN_ _UNKNOWN_ down for a scream marathon and said `` i want it to look _UNKNOWN_ that '' . and it does . it _UNKNOWN_ does .
4,fear_street_part_one_1994,critics,fresh,p,... the absence of _UNKNOWN_ _UNKNOWN_ protagonists goes a _UNKNOWN_ _UNKNOWN_ _UNKNOWN_ perpetuating the sporadically tedious vibe .
5,fear_street_part_one_1994,critics,fresh,p,"a flawed but _UNKNOWN_ supernatural slasher epic , one that is more intriguing for its thematic and structural ambitions than its execution of horror _UNKNOWN_ ."
6,fear_street_part_one_1994,critics,fresh,p,"if you have a stomach for violence and some meta-textual _UNKNOWN_ , _UNKNOWN_ await you ."
7,fear_street_part_one_1994,critics,rotten,n,deena and sam 's _UNKNOWN_ is a push-pull between two paper-thin _UNKNOWN_ whose _UNKNOWN_ _UNKNOWN_ gains the contours that make you care about its survival .
8,fear_street_part_one_1994,critics,rotten,n,"the movie 's laden with drawn-out _UNKNOWN_ , blah one-and-a-half-note _UNKNOWN_ , moth-eaten jump scares and _UNKNOWN_ _UNKNOWN_ referential _UNKNOWN_ bric-a-brac to melt a million millennials ."
9,fear_street_part_one_1994,critics,fresh,p,1994 sets up the trilogy with a _UNKNOWN_ _UNKNOWN_ installment that is as bloody and vibrant as it was frustrating .
10,fear_street_part_one_1994,critics,fresh,p,"1994 leans very _UNKNOWN_ on recognizable nostalgia to build a _UNKNOWN_ of place-hell , the movie opens at a mall ! -before getting into the bloody business at hand ."
11,fear_street_part_one_1994,critics,fresh,p,"it 's not exactly breaking the _UNKNOWN_ in terms of the horror genre , but there are some creative kills and some _UNKNOWN_ twists to keep you going ."
12,fear_street_part_one_1994,critics,fresh,p,it 's the _UNKNOWN_ movie for sleepover pizza _UNKNOWN_ .
13,fear_street_part_one_1994,critics,fresh,p,"leigh janiak and co-writer phil graziadei crafted one gnarly horror flick , heavy on gore , guts , and _UNKNOWN_ hormones in a _UNKNOWN_ that calls to mind the _UNKNOWN_ slasher spectrum ."
14,fear_street_part_one_1994,critics,fresh,p,a _UNKNOWN_ and _UNKNOWN_ brutal ya slasher that ca n't help but _UNKNOWN_ incomplete given that it 's the _UNKNOWN_ of three _UNKNOWN_ .
15,fear_street_part_one_1994,critics,rotten,n,"[ i ] 1994 [ /i ] at _UNKNOWN_ _UNKNOWN_ _UNKNOWN_ an algorithm gone haywire , unable to balance its _UNKNOWN_ with its _UNKNOWN_ ."
16,fear_street_part_one_1994,critics,fresh,p,"a generic pastiche-ing of _UNKNOWN_ horror _UNKNOWN_ , but horror fans should stick with it as it becomes more _UNKNOWN_ and _UNKNOWN_ _UNKNOWN_ in the last half hour ."
17,fear_street_part_one_1994,critics,fresh,p,"a retro pastiche of _UNKNOWN_ 90s slashers , fear street treads familiar territory for horror fans while still providing a _UNKNOWN_ perspective that energizes the material ."
18,fear_street_part_one_1994,critics,fresh,p,"this easy-to-swallow conceit lets fear street _UNKNOWN_ , bloodily romp around , channeling the `` trashy low-brow horror '' of the mass market _UNKNOWN_ it honors ."
19,fear_street_part_one_1994,critics,fresh,p,a _UNKNOWN_ update of the slasher . [ _UNKNOWN_ _UNKNOWN_ in _UNKNOWN_ ]
20,fear_street_part_one_1994,audience,1.5,n,"wokey , mild entertainment"
21,fear_street_part_one_1994,audience,4.0,p,retro is cool - i can respect a movie that pays _UNKNOWN_ to horror 's roots .
22,fear_street_part_one_1994,audience,2.5,n,such a lead on opening the movie with maya hawke just to kill her off . what a _UNKNOWN_ not a _UNKNOWN_ movie in of itself but i ca n't forgive it for killing off maya
23,fear_street_part_one_1994,audience,3.0,p,very _UNKNOWN_ idea but not _UNKNOWN_ _UNKNOWN_ . would not watch again but is a must watch . this is a movie that with your friends you can watch it while you _UNKNOWN_ board games or are hanging out in the _UNKNOWN_ ready to scare each other . all horror _UNKNOWN_ are a _UNKNOWN_ watch but are they _UNKNOWN_ ? _UNKNOWN_ . but not this _UNKNOWN_ .
24,fear_street_part_one_1994,audience,5.0,p,_UNKNOWN_ film that elevates the genre
25,fear_street_part_one_1994,audience,0.5,n,"barely one charismatic _UNKNOWN_ , the _UNKNOWN_ behind is _UNKNOWN_ but very _UNKNOWN_ delivered ! cant believe people _UNKNOWN_ this thing"
26,fear_street_part_one_1994,audience,4.5,p,se me hizo interesante la historia pero las muertes muy fuertes
27,fear_street_part_one_1994,audience,3.5,p,i _UNKNOWN_ the twist and connections .
28,fear_street_part_one_1994,audience,2.5,n,i hate meena so _UNKNOWN_ . her and her ex girlfriend constantly arguing _UNKNOWN_ for a not very pleasant _UNKNOWN_
29,fear_street_part_one_1994,audience,3.0,p,"nada revolucionário , mas divertido . com boas referências a outros filmes de terror e com uma trama até que interessante , rua do medo é uma sessão da tarde para mais velhos ..."
30,mass_2021,critics,fresh,p,"it 's _UNKNOWN_ _UNKNOWN_ _UNKNOWN_ _UNKNOWN_ in _UNKNOWN_ _UNKNOWN_ , and it 's one of the _UNKNOWN_ _UNKNOWN_ i 've seen this _UNKNOWN_ . [ _UNKNOWN_ _UNKNOWN_ in _UNKNOWN_ ]"
31,mass_2021,critics,fresh,p,a movie that 'll make your hugs squeeze a _UNKNOWN_ tighter and words carry more significance once it concludes .
32,mass_2021,critics,rotten,n,"kudos to ann dowd , _UNKNOWN_ plimpton , reed birney and jason isaacs , but this is not the stuff that movie careers - or _UNKNOWN_ _UNKNOWN_ - are _UNKNOWN_ of ."
33,mass_2021,critics,fresh,p,"directing this ensemble _UNKNOWN_ , no matter the skill level , is a feat that a _UNKNOWN_ _UNKNOWN_ typically could _UNKNOWN_ accomplish , but kranz does so with apparent ease ."
34,mass_2021,critics,fresh,p,"the silences and nonverbal , furtive glances exchanged by the married couples speak volumes about their _UNKNOWN_ . _UNKNOWN_ couples will _UNKNOWN_ recognize these signals ..."
35,mass_2021,critics,fresh,p,a subtly poignant psychological _UNKNOWN_ that evokes a genuine catharsis .
36,mass_2021,critics,fresh,p,all 4 actors are exceptional _UNKNOWN_ ann dowd and _UNKNOWN_ plimpton as the 2 mothers . it 's extremely intense and brutal but there is _UNKNOWN_ at the end .
37,mass_2021,critics,fresh,p,"as the film progresses , the words `` oscar nominations '' _UNKNOWN_ trickling through your mind ."
38,mass_2021,critics,fresh,p,"_UNKNOWN_ scripted , extremely theatrical _UNKNOWN_ potboiler"
39,mass_2021,critics,fresh,p,"from the beginning frame , we are drawn in and are intrigued by this _UNKNOWN_ gathering of people whose _UNKNOWN_ are _UNKNOWN_ connected ."
40,mass_2021,critics,fresh,p,"this film is provocative for the strength of the script and its _UNKNOWN_ , not so _UNKNOWN_ for how it was conducted ."
41,mass_2021,critics,fresh,p,a rousing testament to those among us who seek to find meaning in _UNKNOWN_ the _UNKNOWN_ _UNKNOWN_ of our _UNKNOWN_ .
42,mass_2021,critics,fresh,p,"in the hands of a lesser writer , this _UNKNOWN_ could easily slipped into a divisive screed about the politics of gun control . _UNKNOWN_ , _UNKNOWN_ kranz steers the plot into a more universal _UNKNOWN_ about sorrow , anger , and the search for answers ."
43,mass_2021,critics,fresh,p,"an exhausting , challenging , _UNKNOWN_ _UNKNOWN_ that is one of the very _UNKNOWN_ _UNKNOWN_ of 2021 ."
44,mass_2021,critics,fresh,p,in a magnificently _UNKNOWN_ _UNKNOWN_ shows us how to have a meaningful _UNKNOWN_ about a current _UNKNOWN_ crisis that 's dividing the country .
45,mass_2021,critics,rotten,n,mass may be bungled but its _UNKNOWN_ might _UNKNOWN_ have a _UNKNOWN_ film in him _UNKNOWN_ .
46,mass_2021,critics,fresh,p,kranz finds the _UNKNOWN_ in the _UNKNOWN_ of his performers .
47,mass_2021,critics,fresh,p,"i 'm _UNKNOWN_ to think of a more difficult conversation i 've seen at the _UNKNOWN_ . ... some will discover it , look up the 2021 oscars , and wonder : why was this overlooked ?"
48,mass_2021,critics,fresh,p,"kranz _UNKNOWN_ submerges us in this _UNKNOWN_ powder keg for about 110 _UNKNOWN_ , which is just the _UNKNOWN_ amount of _UNKNOWN_ to spend with these four people ."
49,mass_2021,critics,fresh,p,"'mass ' is a remarkable study of grief and acceptance that 's both _UNKNOWN_ and _UNKNOWN_ . it showcases four of the _UNKNOWN_ _UNKNOWN_ of the _UNKNOWN_ , and it challenges your own thoughts and _UNKNOWN_ ."
